epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,36.9416,3.61479,0.18927,0.45426,3.25675,7.6414e-05,7.6414e-05,7.6414e-05
2,72.0181,3.04078,0.3123,0.67508,2.60615,0.00015103,0.00015103,0.00015103
3,108.77,2.49377,0.42744,0.80126,1.99059,0.00022257,0.00022257,0.00022257
4,142.959,2.04645,0.51735,0.84227,1.6677,0.00021916,0.00021916,0.00021916
5,177.768,1.76664,0.57413,0.88486,1.47476,0.000214546,0.000214546,0.000214546
6,213.922,1.5757,0.59937,0.89117,1.39105,0.000209933,0.000209933,0.000209933
7,250.017,1.45047,0.6183,0.90379,1.24696,0.00020532,0.00020532,0.00020532
8,284.501,1.33189,0.64669,0.90221,1.2121,0.000200706,0.000200706,0.000200706
9,319.095,1.19743,0.62618,0.90379,1.27938,0.000196093,0.000196093,0.000196093
10,356.106,1.12998,0.64984,0.91483,1.192,0.000191479,0.000191479,0.000191479
11,390.586,1.07448,0.66404,0.92587,1.17007,0.000186866,0.000186866,0.000186866
12,425.346,1.03012,0.68454,0.92429,1.11781,0.000182253,0.000182253,0.000182253
13,460.538,0.9352,0.67666,0.92429,1.13242,0.000177639,0.000177639,0.000177639
14,495.595,0.90987,0.68927,0.92587,1.10028,0.000173026,0.000173026,0.000173026
15,530.412,0.85314,0.68612,0.93375,1.07439,0.000168412,0.000168412,0.000168412
16,565.308,0.80989,0.70978,0.93375,1.05587,0.000163799,0.000163799,0.000163799
17,601.268,0.78466,0.71136,0.92271,1.076,0.000159186,0.000159186,0.000159186
18,636.2,0.70587,0.70347,0.92271,1.05855,0.000154572,0.000154572,0.000154572
19,669.922,0.70073,0.71767,0.93849,1.01782,0.000149959,0.000149959,0.000149959
20,704.365,0.6726,0.71767,0.92744,1.13406,0.000145345,0.000145345,0.000145345
21,739.771,0.62615,0.72082,0.93218,1.08527,0.000140732,0.000140732,0.000140732
22,774.195,0.6347,0.71767,0.93218,1.07738,0.000136119,0.000136119,0.000136119
23,808.673,0.57353,0.71924,0.93375,1.07097,0.000131505,0.000131505,0.000131505
24,843.803,0.55894,0.72082,0.92744,1.1087,0.000126892,0.000126892,0.000126892
25,878.468,0.56864,0.70189,0.92744,1.07782,0.000122278,0.000122278,0.000122278
26,913.337,0.49079,0.71293,0.9306,1.08428,0.000117665,0.000117665,0.000117665
27,948.511,0.52668,0.72713,0.94006,1.03308,0.000113052,0.000113052,0.000113052
28,983.192,0.49384,0.73344,0.93533,1.01138,0.000108438,0.000108438,0.000108438
29,1018.18,0.47316,0.73344,0.93218,0.98534,0.000103825,0.000103825,0.000103825
30,1053.01,0.44859,0.73975,0.92902,1.02422,9.92114e-05,9.92114e-05,9.92114e-05
31,1088.15,0.4436,0.73659,0.94322,1.06222,9.4598e-05,9.4598e-05,9.4598e-05
32,1122.87,0.43331,0.73975,0.92744,1.08523,8.99846e-05,8.99846e-05,8.99846e-05
33,1158.45,0.38641,0.74763,0.94006,0.99639,8.53712e-05,8.53712e-05,8.53712e-05
34,1193.86,0.36738,0.74921,0.94006,1.00606,8.07578e-05,8.07578e-05,8.07578e-05
35,1228.72,0.37625,0.74921,0.93691,1.02844,7.61444e-05,7.61444e-05,7.61444e-05
36,1262.61,0.34958,0.75079,0.93849,1.03178,7.1531e-05,7.1531e-05,7.1531e-05
37,1297.9,0.34114,0.75079,0.93533,1.06725,6.69176e-05,6.69176e-05,6.69176e-05
38,1332.91,0.32939,0.73817,0.93218,1.0573,6.23042e-05,6.23042e-05,6.23042e-05
39,1367.62,0.32945,0.74763,0.94164,1.04723,5.76908e-05,5.76908e-05,5.76908e-05
40,1401.31,0.33735,0.74921,0.93533,1.03807,5.30774e-05,5.30774e-05,5.30774e-05
41,1441.8,0.32724,0.7571,0.9306,1.0564,4.8464e-05,4.8464e-05,4.8464e-05
42,1475.55,0.30937,0.75394,0.9306,1.08686,4.38506e-05,4.38506e-05,4.38506e-05
43,1510,0.29702,0.75394,0.93691,1.03646,3.92372e-05,3.92372e-05,3.92372e-05
44,1544.78,0.2839,0.75079,0.93218,1.07595,3.46238e-05,3.46238e-05,3.46238e-05
45,1581.4,0.2661,0.74921,0.93375,1.05589,3.00104e-05,3.00104e-05,3.00104e-05
46,1615.15,0.2886,0.74763,0.92744,1.07544,2.5397e-05,2.5397e-05,2.5397e-05
47,1649.79,0.27624,0.75079,0.9306,1.05219,2.07836e-05,2.07836e-05,2.07836e-05
48,1684.62,0.30667,0.74448,0.93533,1.06358,1.61702e-05,1.61702e-05,1.61702e-05
49,1720.34,0.25527,0.73975,0.92744,1.06058,1.15568e-05,1.15568e-05,1.15568e-05
50,1755.6,0.27122,0.75868,0.93375,1.03905,6.9434e-06,6.9434e-06,6.9434e-06
