epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,31.981,3.61425,0.19085,0.45268,3.2534,7.6414e-05,7.6414e-05,7.6414e-05
2,61.6425,3.03498,0.31073,0.67508,2.60662,0.00015103,0.00015103,0.00015103
3,92.479,2.47363,0.44006,0.79022,1.98967,0.00022257,0.00022257,0.00022257
4,123.314,2.02784,0.52208,0.85331,1.66936,0.00021916,0.00021916,0.00021916
5,154.927,1.75807,0.59621,0.87855,1.48837,0.000214546,0.000214546,0.000214546
6,186.146,1.58317,0.59779,0.89748,1.39905,0.000209933,0.000209933,0.000209933
7,216.386,1.44926,0.62934,0.90221,1.25855,0.00020532,0.00020532,0.00020532
8,246.404,1.32783,0.64511,0.90063,1.22407,0.000200706,0.000200706,0.000200706
9,276.378,1.20685,0.62145,0.91009,1.27014,0.000196093,0.000196093,0.000196093
10,306.684,1.13249,0.65931,0.91483,1.19051,0.000191479,0.000191479,0.000191479
11,339.156,1.07693,0.65931,0.91325,1.20017,0.000186866,0.000186866,0.000186866
12,369.851,1.02766,0.69085,0.91956,1.12329,0.000182253,0.000182253,0.000182253
13,400.911,0.94554,0.66877,0.92271,1.14439,0.000177639,0.000177639,0.000177639
14,431.027,0.91201,0.68139,0.91483,1.14747,0.000173026,0.000173026,0.000173026
15,461.985,0.86436,0.6877,0.91956,1.10943,0.000168412,0.000168412,0.000168412
16,492.641,0.81654,0.71451,0.9306,1.05582,0.000163799,0.000163799,0.000163799
17,522.135,0.78241,0.70978,0.92271,1.08998,0.000159186,0.000159186,0.000159186
18,551.692,0.70701,0.70347,0.9306,1.05551,0.000154572,0.000154572,0.000154572
19,580.613,0.70597,0.71136,0.94479,1.00888,0.000149959,0.000149959,0.000149959
20,610.763,0.67429,0.71136,0.92114,1.12889,0.000145345,0.000145345,0.000145345
21,640.62,0.62041,0.7082,0.92902,1.06474,0.000140732,0.000140732,0.000140732
22,669.093,0.6478,0.73028,0.92429,1.06568,0.000136119,0.000136119,0.000136119
23,699.238,0.58048,0.73028,0.92587,1.0321,0.000131505,0.000131505,0.000131505
24,729.966,0.56474,0.72555,0.9306,1.06103,0.000126892,0.000126892,0.000126892
25,759.555,0.56376,0.71136,0.92271,1.08878,0.000122278,0.000122278,0.000122278
26,789.044,0.5052,0.73186,0.93218,1.07351,0.000117665,0.000117665,0.000117665
27,819.477,0.52581,0.72871,0.93218,1.05045,0.000113052,0.000113052,0.000113052
28,849.916,0.48877,0.73028,0.94164,1.03251,0.000108438,0.000108438,0.000108438
29,878.497,0.47173,0.72713,0.93375,1.00157,0.000103825,0.000103825,0.000103825
30,908.063,0.45186,0.73344,0.93849,1.02617,9.92114e-05,9.92114e-05,9.92114e-05
31,938.136,0.44669,0.73975,0.93533,1.05172,9.4598e-05,9.4598e-05,9.4598e-05
32,968.496,0.43207,0.72871,0.93375,1.05869,8.99846e-05,8.99846e-05,8.99846e-05
33,998.555,0.39728,0.75868,0.94164,1.0069,8.53712e-05,8.53712e-05,8.53712e-05
34,1028.89,0.3595,0.75237,0.93691,1.0154,8.07578e-05,8.07578e-05,8.07578e-05
35,1058.15,0.38352,0.7429,0.94006,1.03795,7.61444e-05,7.61444e-05,7.61444e-05
36,1087.73,0.35237,0.74132,0.93533,1.03724,7.1531e-05,7.1531e-05,7.1531e-05
37,1117.14,0.34405,0.72555,0.93691,1.07308,6.69176e-05,6.69176e-05,6.69176e-05
38,1146.18,0.33004,0.74448,0.93218,1.05851,6.23042e-05,6.23042e-05,6.23042e-05
39,1176.37,0.3362,0.74132,0.93533,1.05142,5.76908e-05,5.76908e-05,5.76908e-05
40,1205.93,0.34208,0.74448,0.9306,1.03359,5.30774e-05,5.30774e-05,5.30774e-05
41,1240.67,0.32775,0.74132,0.93218,1.04872,4.8464e-05,4.8464e-05,4.8464e-05
42,1270.03,0.31028,0.75552,0.93218,1.06377,4.38506e-05,4.38506e-05,4.38506e-05
43,1300.11,0.29656,0.74763,0.93533,1.02174,3.92372e-05,3.92372e-05,3.92372e-05
44,1329.25,0.29331,0.73975,0.93533,1.07294,3.46238e-05,3.46238e-05,3.46238e-05
45,1359.93,0.27412,0.74763,0.92902,1.04097,3.00104e-05,3.00104e-05,3.00104e-05
46,1388.86,0.29,0.76025,0.9306,1.06313,2.5397e-05,2.5397e-05,2.5397e-05
47,1419.19,0.28042,0.75079,0.93849,1.03585,2.07836e-05,2.07836e-05,2.07836e-05
48,1448.32,0.31256,0.75868,0.94006,1.04681,1.61702e-05,1.61702e-05,1.61702e-05
