epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,38.1353,3.56117,0.22555,0.49527,3.03795,7.6414e-05,7.6414e-05,7.6414e-05
2,74.8944,2.73577,0.42114,0.75079,2.15891,0.00015103,0.00015103,0.00015103
3,112.586,2.0661,0.53312,0.83754,1.6789,0.00022257,0.00022257,0.00022257
4,150.215,1.62959,0.59937,0.89117,1.46274,0.00021916,0.00021916,0.00021916
5,189.771,1.37832,0.64353,0.91009,1.23517,0.000214546,0.000214546,0.000214546
6,226.979,1.21018,0.69874,0.92271,1.13533,0.000209933,0.000209933,0.000209933
7,267.199,1.07998,0.68454,0.92271,1.13199,0.00020532,0.00020532,0.00020532
8,301.793,1.01238,0.6877,0.93533,1.14098,0.000200706,0.000200706,0.000200706
9,341.324,0.8696,0.73028,0.93849,0.99343,0.000196093,0.000196093,0.000196093
10,378.855,0.79381,0.7429,0.9306,0.95294,0.000191479,0.000191479,0.000191479
11,418.004,0.71409,0.73817,0.93533,0.96097,0.000186866,0.000186866,0.000186866
12,456.406,0.65681,0.72082,0.94795,1.02679,0.000182253,0.000182253,0.000182253
13,492.906,0.61374,0.73344,0.94322,0.98913,0.000177639,0.000177639,0.000177639
14,531.519,0.55175,0.7429,0.94479,0.97086,0.000173026,0.000173026,0.000173026
15,569.028,0.53033,0.77129,0.94479,0.95206,0.000168412,0.000168412,0.000168412
16,610.303,0.49418,0.75552,0.94006,0.98038,0.000163799,0.000163799,0.000163799
17,645.732,0.44579,0.74132,0.95268,1.05762,0.000159186,0.000159186,0.000159186
18,683.865,0.41776,0.74448,0.94479,1.05908,0.000154572,0.000154572,0.000154572
19,719.714,0.41842,0.75868,0.93849,0.95069,0.000149959,0.000149959,0.000149959
20,755.676,0.3409,0.78076,0.95268,0.90886,0.000145345,0.000145345,0.000145345
21,795.473,0.33815,0.76972,0.94795,0.99308,0.000140732,0.000140732,0.000140732
22,830.32,0.34998,0.77918,0.94795,0.96507,0.000136119,0.000136119,0.000136119
23,866.848,0.31338,0.77445,0.95268,0.91807,0.000131505,0.000131505,0.000131505
24,904.595,0.27824,0.76656,0.93849,0.96578,0.000126892,0.000126892,0.000126892
25,939.316,0.27665,0.7571,0.94637,1.03418,0.000122278,0.000122278,0.000122278
26,974.732,0.26469,0.76025,0.94006,1.07063,0.000117665,0.000117665,0.000117665
27,1013.02,0.29859,0.7776,0.94479,0.93722,0.000113052,0.000113052,0.000113052
28,1049.65,0.21017,0.77918,0.95268,0.93946,0.000108438,0.000108438,0.000108438
29,1083.94,0.20662,0.78707,0.94479,0.96903,0.000103825,0.000103825,0.000103825
30,1121.88,0.2056,0.80126,0.94479,0.94046,9.92114e-05,9.92114e-05,9.92114e-05
31,1158.92,0.21018,0.79022,0.94479,0.96659,9.4598e-05,9.4598e-05,9.4598e-05
32,1195.55,0.19339,0.79022,0.95899,0.98054,8.99846e-05,8.99846e-05,8.99846e-05
33,1234.12,0.17729,0.77918,0.95741,0.96872,8.53712e-05,8.53712e-05,8.53712e-05
34,1269.69,0.17195,0.77287,0.95741,0.96024,8.07578e-05,8.07578e-05,8.07578e-05
35,1307.22,0.15211,0.78707,0.96372,0.91816,7.61444e-05,7.61444e-05,7.61444e-05
36,1343.84,0.14962,0.78391,0.95426,0.92288,7.1531e-05,7.1531e-05,7.1531e-05
37,1380.68,0.13982,0.80442,0.95584,0.90848,6.69176e-05,6.69176e-05,6.69176e-05
38,1419.06,0.12351,0.79338,0.95584,0.93429,6.23042e-05,6.23042e-05,6.23042e-05
39,1455.38,0.14159,0.78076,0.95268,0.98019,5.76908e-05,5.76908e-05,5.76908e-05
40,1491.9,0.13184,0.77287,0.96057,0.96568,5.30774e-05,5.30774e-05,5.30774e-05
41,1532.09,0.10257,0.79811,0.95741,0.90493,4.8464e-05,4.8464e-05,4.8464e-05
42,1567.57,0.11171,0.7918,0.95584,0.93828,4.38506e-05,4.38506e-05,4.38506e-05
43,1605.08,0.1016,0.80284,0.95741,0.8732,3.92372e-05,3.92372e-05,3.92372e-05
44,1642.69,0.09777,0.80915,0.95584,0.91185,3.46238e-05,3.46238e-05,3.46238e-05
45,1682.76,0.09194,0.79653,0.95899,0.92424,3.00104e-05,3.00104e-05,3.00104e-05
46,1717.99,0.1053,0.80126,0.95584,0.93101,2.5397e-05,2.5397e-05,2.5397e-05
47,1755.17,0.08327,0.79811,0.95584,0.9056,2.07836e-05,2.07836e-05,2.07836e-05
48,1792.05,0.10135,0.79811,0.95268,0.92746,1.61702e-05,1.61702e-05,1.61702e-05
49,1827.77,0.07686,0.7918,0.95899,0.92279,1.15568e-05,1.15568e-05,1.15568e-05
50,1864,0.08704,0.79968,0.95899,0.89692,6.9434e-06,6.9434e-06,6.9434e-06
