variant,seed,top1_pct,top5_pct,params,gflops,mean_inference_ms_per_image,n_test,checkpoint,prediction_csv
baseline,42,82.54716981132076,96.0691823899371,6034663,1.51303424,0.8482104323901113,636,/content/drive/MyDrive/TCM_YOLOv12_runs/supplementary_attention_ablation/v12s_baseline_seed42/weights/best.pt,/content/drive/MyDrive/TCM_YOLOv12_runs/supplementary_attention_ablation/predictions/v12s_baseline_seed42_test_predictions.csv
baseline,123,82.54716981132076,96.38364779874213,6034663,1.51303424,0.8568827562907153,636,/content/drive/MyDrive/TCM_YOLOv12_runs/supplementary_attention_ablation/v12s_baseline_seed123/weights/best.pt,/content/drive/MyDrive/TCM_YOLOv12_runs/supplementary_attention_ablation/predictions/v12s_baseline_seed123_test_predictions.csv
baseline,2026,82.38993710691824,95.59748427672956,6034663,1.51303424,0.8625352955952748,636,/content/drive/MyDrive/TCM_YOLOv12_runs/supplementary_attention_ablation/v12s_baseline_seed2026/weights/best.pt,/content/drive/MyDrive/TCM_YOLOv12_runs/supplementary_attention_ablation/predictions/v12s_baseline_seed2026_test_predictions.csv
SE,42,82.38993710691824,95.75471698113208,6067431,1.513150976,0.8534763301899799,636,/content/drive/MyDrive/TCM_YOLOv12_runs/supplementary_attention_ablation/v12s_se_seed42/weights/best.pt,/content/drive/MyDrive/TCM_YOLOv12_runs/supplementary_attention_ablation/predictions/v12s_se_seed42_test_predictions.csv
SE,123,82.0754716981132,95.75471698113208,6067431,1.513150976,0.8459815330151853,636,/content/drive/MyDrive/TCM_YOLOv12_runs/supplementary_attention_ablation/v12s_se_seed123/weights/best.pt,/content/drive/MyDrive/TCM_YOLOv12_runs/supplementary_attention_ablation/predictions/v12s_se_seed123_test_predictions.csv
SE,2026,83.17610062893081,96.38364779874213,6067431,1.513150976,0.8486000141538914,636,/content/drive/MyDrive/TCM_YOLOv12_runs/supplementary_attention_ablation/v12s_se_seed2026/weights/best.pt,/content/drive/MyDrive/TCM_YOLOv12_runs/supplementary_attention_ablation/predictions/v12s_se_seed2026_test_predictions.csv
CBAM,42,83.49056603773585,95.59748427672956,6067529,1.513226116,0.86806099214117,636,/content/drive/MyDrive/TCM_YOLOv12_runs/supplementary_attention_ablation/v12s_cbam_seed42/weights/best.pt,/content/drive/MyDrive/TCM_YOLOv12_runs/supplementary_attention_ablation/predictions/v12s_cbam_seed42_test_predictions.csv
CBAM,123,81.13207547169812,96.54088050314465,6067529,1.513226116,0.86141141666715,636,/content/drive/MyDrive/TCM_YOLOv12_runs/supplementary_attention_ablation/v12s_cbam_seed123/weights/best.pt,/content/drive/MyDrive/TCM_YOLOv12_runs/supplementary_attention_ablation/predictions/v12s_cbam_seed123_test_predictions.csv
CBAM,2026,82.23270440251572,96.22641509433963,6067529,1.513226116,0.8592767437061319,636,/content/drive/MyDrive/TCM_YOLOv12_runs/supplementary_attention_ablation/v12s_cbam_seed2026/weights/best.pt,/content/drive/MyDrive/TCM_YOLOv12_runs/supplementary_attention_ablation/predictions/v12s_cbam_seed2026_test_predictions.csv
LTA,42,83.01886792452831,95.75471698113208,6067529,1.513226116,0.868754619499577,636,/content/drive/MyDrive/TCM_YOLOv12_runs/supplementary_attention_ablation/v12s_lta_seed42/weights/best.pt,/content/drive/MyDrive/TCM_YOLOv12_runs/supplementary_attention_ablation/predictions/v12s_lta_seed42_test_predictions.csv
LTA,123,81.91823899371069,96.85534591194968,6067529,1.513226116,0.8581971477947521,636,/content/drive/MyDrive/TCM_YOLOv12_runs/supplementary_attention_ablation/v12s_lta_seed123/weights/best.pt,/content/drive/MyDrive/TCM_YOLOv12_runs/supplementary_attention_ablation/predictions/v12s_lta_seed123_test_predictions.csv
LTA,2026,81.60377358490565,96.54088050314465,6067529,1.513226116,0.8655568034606953,636,/content/drive/MyDrive/TCM_YOLOv12_runs/supplementary_attention_ablation/v12s_lta_seed2026/weights/best.pt,/content/drive/MyDrive/TCM_YOLOv12_runs/supplementary_attention_ablation/predictions/v12s_lta_seed2026_test_predictions.csv
