variant,seed,top1_pct,top1_ci95_low,top1_ci95_high,n_test
baseline,42,82.54716981132076,79.55974842767296,85.37735849056604,636
baseline,123,82.54716981132076,79.55974842767296,85.37735849056604,636
baseline,2026,82.38993710691824,79.40251572327044,85.22012578616352,636
SE,42,82.38993710691824,79.40251572327044,85.37735849056604,636
SE,123,82.0754716981132,79.0880503144654,85.062893081761,636
SE,2026,83.17610062893081,80.34198113207547,86.0062893081761,636
CBAM,42,83.49056603773585,80.50314465408806,86.32075471698113,636
CBAM,123,81.13207547169812,77.9874213836478,84.11949685534591,636
CBAM,2026,82.23270440251572,79.24528301886792,85.22012578616352,636
LTA,42,83.01886792452831,80.0314465408805,85.84905660377359,636
LTA,123,81.91823899371069,78.77358490566037,84.90566037735849,636
LTA,2026,81.60377358490565,78.61635220125787,84.59119496855347,636
