epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,33.9851,3.55963,0.22871,0.50158,3.01903,7.6414e-05,7.6414e-05,7.6414e-05
2,64.4762,2.71906,0.40063,0.7571,2.17921,0.00015103,0.00015103,0.00015103
3,98.8155,2.04275,0.52839,0.83596,1.75502,0.00022257,0.00022257,0.00022257
4,132.896,1.60503,0.59779,0.88328,1.4876,0.00021916,0.00021916,0.00021916
5,168.581,1.35609,0.63565,0.91167,1.24617,0.000214546,0.000214546,0.000214546
6,204.127,1.20135,0.6877,0.9164,1.18781,0.000209933,0.000209933,0.000209933
7,237.665,1.05921,0.6877,0.92429,1.12701,0.00020532,0.00020532,0.00020532
8,270.363,0.99481,0.68454,0.9306,1.12949,0.000200706,0.000200706,0.000200706
9,302.711,0.84955,0.72713,0.94479,1.00472,0.000196093,0.000196093,0.000196093
10,338.502,0.77706,0.73344,0.94164,1.01016,0.000191479,0.000191479,0.000191479
11,372.235,0.70961,0.73817,0.94006,0.96163,0.000186866,0.000186866,0.000186866
12,405.253,0.64504,0.74921,0.94795,1.00341,0.000182253,0.000182253,0.000182253
13,438.498,0.60641,0.75868,0.94322,0.97725,0.000177639,0.000177639,0.000177639
14,472.077,0.55184,0.73659,0.94637,0.936,0.000173026,0.000173026,0.000173026
15,503.63,0.55439,0.75394,0.94637,0.94973,0.000168412,0.000168412,0.000168412
16,534.273,0.49673,0.74763,0.94322,0.99477,0.000163799,0.000163799,0.000163799
17,564.967,0.45558,0.74763,0.94795,0.96894,0.000159186,0.000159186,0.000159186
18,595.564,0.4179,0.74921,0.94795,0.99528,0.000154572,0.000154572,0.000154572
19,626.692,0.41649,0.77129,0.94795,0.91374,0.000149959,0.000149959,0.000149959
20,658.916,0.36248,0.78076,0.95426,0.93898,0.000145345,0.000145345,0.000145345
21,691.677,0.32981,0.78549,0.9511,0.93628,0.000140732,0.000140732,0.000140732
22,724.85,0.33931,0.76814,0.94795,1.00752,0.000136119,0.000136119,0.000136119
23,757.497,0.30957,0.7776,0.94322,0.93087,0.000131505,0.000131505,0.000131505
24,789.643,0.29387,0.76814,0.9511,0.96172,0.000126892,0.000126892,0.000126892
25,820.165,0.28128,0.77129,0.95426,0.95043,0.000122278,0.000122278,0.000122278
26,852.5,0.26405,0.76341,0.95268,0.99577,0.000117665,0.000117665,0.000117665
27,883.505,0.30499,0.79653,0.94322,0.91477,0.000113052,0.000113052,0.000113052
28,918.817,0.22048,0.78076,0.94795,0.92127,0.000108438,0.000108438,0.000108438
29,949.619,0.22665,0.78864,0.94637,0.9661,0.000103825,0.000103825,0.000103825
30,980.558,0.20636,0.78549,0.94479,1.00365,9.92114e-05,9.92114e-05,9.92114e-05
31,1012.1,0.20315,0.77918,0.93849,1.00063,9.4598e-05,9.4598e-05,9.4598e-05
32,1043.27,0.19176,0.77603,0.94953,1.00065,8.99846e-05,8.99846e-05,8.99846e-05
33,1074.58,0.17642,0.78864,0.94953,0.98882,8.53712e-05,8.53712e-05,8.53712e-05
34,1105.01,0.1743,0.77603,0.9511,0.99737,8.07578e-05,8.07578e-05,8.07578e-05
35,1136.9,0.15761,0.78233,0.94479,1.00036,7.61444e-05,7.61444e-05,7.61444e-05
36,1168.28,0.14065,0.76498,0.9511,0.97449,7.1531e-05,7.1531e-05,7.1531e-05
37,1200.28,0.13891,0.78549,0.9511,0.96106,6.69176e-05,6.69176e-05,6.69176e-05
38,1231.32,0.13407,0.79338,0.95268,0.97788,6.23042e-05,6.23042e-05,6.23042e-05
39,1265.53,0.13267,0.77918,0.94637,1.01746,5.76908e-05,5.76908e-05,5.76908e-05
40,1296.68,0.12884,0.78864,0.9511,0.98027,5.30774e-05,5.30774e-05,5.30774e-05
41,1332.28,0.1114,0.80757,0.94953,0.96175,4.8464e-05,4.8464e-05,4.8464e-05
42,1364.48,0.11887,0.79022,0.95426,0.95522,4.38506e-05,4.38506e-05,4.38506e-05
43,1397.06,0.10511,0.80915,0.95741,0.90548,3.92372e-05,3.92372e-05,3.92372e-05
44,1430.65,0.10205,0.79968,0.95268,0.93603,3.46238e-05,3.46238e-05,3.46238e-05
45,1462.23,0.09169,0.78549,0.95741,0.97376,3.00104e-05,3.00104e-05,3.00104e-05
46,1492.41,0.10609,0.79811,0.95741,0.95265,2.5397e-05,2.5397e-05,2.5397e-05
47,1523.74,0.0965,0.79653,0.95426,0.93756,2.07836e-05,2.07836e-05,2.07836e-05
48,1555.26,0.09875,0.79811,0.95268,0.95566,1.61702e-05,1.61702e-05,1.61702e-05
49,1586.94,0.08094,0.78864,0.95741,0.95056,1.15568e-05,1.15568e-05,1.15568e-05
50,1618.85,0.08766,0.79811,0.95741,0.93557,6.9434e-06,6.9434e-06,6.9434e-06
